SNID: 2017cbv
SURVEY: UVEXT
SNTYPE: 1
IAUC: 2017cbv
RA:   218.143420 deg
DECL:   -44.134090 deg 
RA_HOST:   218.169750
DEC_HOST:   -44.174420
FILTERS: ugriBomn
REDSHIFT_HELIO: 0.004113 +- 0.00015 
REDSHIFT_CMB: 0.0047809 +- 0.00015 
VPEC: 440.8658 +- 250.0
MWEBV: 0.1453  MW E(B-V)
SEARCH_PEAKMJD: 57826.1
NOBS: 360
NVAR: 7
VARLIST: MJD FILTER FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57915.30000 CSP-B/u VOID 86059.7341 1188.9540 15.16300 0.01500
OBS: 57915.30000 CSP-B/u VOID 83868.7171 772.4560 15.19100 0.01000
OBS: 57916.30000 CSP-B/u VOID 83253.0207 690.1068 15.19900 0.00900
OBS: 57922.30000 CSP-B/u VOID 75370.2577 1666.0384 15.30700 0.02400
OBS: 57922.30000 CSP-B/u VOID 76348.4105 1968.9369 15.29300 0.02800
OBS: 57933.20000 CSP-B/u VOID 67795.3645 561.9741 15.42200 0.00900
OBS: 57945.20000 CSP-B/u VOID 59429.2159 492.6248 15.56500 0.00900
OBS: 57954.00000 CSP-B/u VOID 52191.5266 865.2593 15.70600 0.01800
OBS: 57954.00000 CSP-B/u VOID 51665.4243 808.9519 15.71700 0.01700
OBS: 57968.10000 CSP-B/u VOID 43211.5654 636.7864 15.91100 0.01600
OBS: 57968.10000 CSP-B/u VOID 42933.8663 276.8037 15.91800 0.00700
OBS: 57980.00000 CSP-B/u VOID 36074.4734 332.2567 16.10700 0.01000
OBS: 57993.10000 CSP-B/u VOID 30199.5172 194.7026 16.30000 0.00700
OBS: 58000.00000 CSP-B/u VOID 27239.5545 677.3881 16.41200 0.02700
OBS: 58000.00000 CSP-B/u VOID 27390.5025 227.0473 16.40600 0.00900
OBS: 58204.30000 CSP-B/u VOID 1496.9249 217.8366 19.56200 0.15800
OBS: 58204.30000 CSP-B/u VOID 1605.4619 34.0096 19.48600 0.02300
OBS: 58238.10000 CSP-B/u VOID 922.9964 292.4369 20.08700 0.34400
OBS: 58241.20000 CSP-B/u VOID 1094.4603 189.5098 19.90200 0.18800
OBS: 58242.20000 CSP-B/u VOID 1139.7248 161.6570 19.85800 0.15400
OBS: 58242.20000 CSP-B/u VOID 1068.5627 108.2596 19.92800 0.11000
OBS: 58244.30000 CSP-B/u VOID 986.2795 45.4196 20.01500 0.05000
OBS: 58272.30000 CSP-B/u VOID 569.6394 109.6529 20.61100 0.20900
OBS: 58275.30000 CSP-B/u VOID 572.2687 33.7329 20.60600 0.06400
OBS: 57822.30000 CSP-n/x VOID 54802.4532 605.6964 15.65300 0.01200
OBS: 57823.20000 CSP-n/x VOID 122236.2449 900.6660 14.78200 0.00800
OBS: 57823.30000 CSP-n/x VOID 135518.9412 1622.6211 14.67000 0.01300
OBS: 57823.40000 CSP-n/x VOID 140863.9946 1297.3996 14.62800 0.01000
OBS: 57824.40000 CSP-n/x VOID 209507.7052 1350.7402 14.19700 0.00700
OBS: 57825.40000 CSP-n/x VOID 288403.1503 1859.3957 13.85000 0.00700
OBS: 57826.30000 CSP-n/x VOID 391922.3225 4331.6666 13.51700 0.01200
OBS: 57827.30000 CSP-n/x VOID 517130.3179 6191.8030 13.21600 0.01300
OBS: 57828.30000 CSP-n/x VOID 679203.6326 7506.8031 12.92000 0.01200
OBS: 57832.30000 CSP-n/x VOID 1399587.3226 10312.4953 12.13500 0.00800
OBS: 57833.30000 CSP-n/x VOID 1566029.7207 21635.4053 12.01300 0.01500
OBS: 57838.30000 CSP-n/x VOID 2095077.0524 17366.6594 11.69700 0.00900
OBS: 57850.30000 CSP-n/x VOID 1863802.9723 20599.4214 11.82400 0.01200
OBS: 57851.20000 CSP-n/x VOID 1753880.5018 16153.7656 11.89000 0.01000
OBS: 57852.30000 CSP-n/x VOID 1642857.8981 9078.7285 11.96100 0.00600
OBS: 57856.30000 CSP-n/x VOID 1309784.9624 7238.1075 12.20700 0.00600
OBS: 57869.30000 CSP-n/x VOID 686119.8753 5687.4329 12.90900 0.00900
OBS: 57870.30000 CSP-n/x VOID 648037.2942 7162.3415 12.97100 0.01200
OBS: 57870.30000 CSP-n/x VOID 645654.2290 6541.3361 12.97500 0.01100
OBS: 57871.40000 CSP-n/x VOID 613762.0052 3391.7593 13.03000 0.00600
OBS: 57872.30000 CSP-n/x VOID 585598.5598 4314.8307 13.08100 0.00800
OBS: 57875.40000 CSP-n/x VOID 497507.9214 2749.3183 13.25800 0.00600
OBS: 57876.40000 CSP-n/x VOID 474678.9795 2623.1615 13.30900 0.00600
OBS: 57882.30000 CSP-n/x VOID 361077.1451 1995.3773 13.60600 0.00600
OBS: 57888.40000 CSP-n/x VOID 302551.9804 1671.9567 13.79800 0.00600
OBS: 57889.30000 CSP-n/x VOID 290001.3369 1869.6995 13.84400 0.00700
OBS: 57909.30000 CSP-n/x VOID 188625.3245 1216.1071 14.31100 0.00700
OBS: 57915.30000 CSP-n/x VOID 167957.7314 1392.2470 14.43700 0.00900
OBS: 57916.30000 CSP-n/x VOID 162480.0335 897.8939 14.47300 0.00600
OBS: 57922.30000 CSP-n/x VOID 142298.3945 1572.7331 14.61700 0.01200
OBS: 57933.20000 CSP-n/x VOID 115877.7356 747.0881 14.84000 0.00700
OBS: 57954.00000 CSP-n/x VOID 78559.7332 1012.9822 15.26200 0.01400
OBS: 57968.10000 CSP-n/x VOID 58884.3655 325.4056 15.57500 0.00600
OBS: 57980.00000 CSP-n/x VOID 48172.5904 399.3156 15.79300 0.00900
OBS: 57993.10000 CSP-n/x VOID 38940.3634 215.1915 16.02400 0.00600
OBS: 58000.00000 CSP-n/x VOID 34387.4522 190.0313 16.15900 0.00600
OBS: 58204.30000 CSP-n/x VOID 1923.0917 31.8821 19.29000 0.01800
OBS: 58235.20000 CSP-n/x VOID 1361.4447 52.6651 19.66500 0.04200
OBS: 58235.30000 CSP-n/x VOID 1213.3889 60.3486 19.79000 0.05400
OBS: 58236.40000 CSP-n/x VOID 1184.6771 121.1147 19.81600 0.11100
OBS: 58236.40000 CSP-n/x VOID 1308.5792 161.5022 19.70800 0.13400
OBS: 58236.40000 CSP-n/x VOID 1174.8976 91.9799 19.82500 0.08500
OBS: 58236.40000 CSP-n/x VOID 1229.1362 118.8675 19.77600 0.10500
OBS: 58238.10000 CSP-n/x VOID 1039.4414 258.4863 19.95800 0.27000
OBS: 58238.30000 CSP-n/x VOID 1490.0471 267.6137 19.56700 0.19500
OBS: 58241.20000 CSP-n/x VOID 1889.7311 388.1313 19.30900 0.22300
OBS: 58241.20000 CSP-n/x VOID 1484.5677 175.0184 19.57100 0.12800
OBS: 58241.20000 CSP-n/x VOID 1360.1913 111.4972 19.66600 0.08900
OBS: 58242.20000 CSP-n/x VOID 1025.1797 132.1910 19.97300 0.14000
OBS: 58242.20000 CSP-n/x VOID 1097.4886 82.8872 19.89900 0.08200
OBS: 58244.30000 CSP-n/x VOID 1046.1646 41.4326 19.95100 0.04300
OBS: 58272.30000 CSP-n/x VOID 940.1562 278.8237 20.06700 0.32200
OBS: 58275.30000 CSP-n/x VOID 649.8304 25.7361 20.46800 0.04300
OBS: 58308.10000 CSP-n/x VOID 436.1140 69.8913 20.90100 0.17400
OBS: 58308.10000 CSP-n/x VOID 570.1643 61.4412 20.61000 0.11700
OBS: 58308.10000 CSP-n/x VOID 397.0087 11.3354 21.00300 0.03100
OBS: 57822.30000 CSP-u/t VOID 37462.7798 862.6086 16.06600 0.02500
OBS: 57823.20000 CSP-u/t VOID 68801.8316 1394.1081 15.40600 0.02200
OBS: 57823.30000 CSP-u/t VOID 71911.7736 1457.1238 15.35800 0.02200
OBS: 57823.40000 CSP-u/t VOID 74885.8908 1448.4152 15.31400 0.02100
OBS: 57824.40000 CSP-u/t VOID 96560.6099 1867.6396 15.03800 0.02100
OBS: 57824.40000 CSP-u/t VOID 95675.3369 1762.3971 15.04800 0.02000
OBS: 57825.40000 CSP-u/t VOID 115027.0548 2118.8674 14.84800 0.02000
OBS: 57826.30000 CSP-u/t VOID 147231.2502 2847.6924 14.58000 0.02100
OBS: 57826.30000 CSP-u/t VOID 147231.2502 2847.6924 14.58000 0.02100
OBS: 57827.30000 CSP-u/t VOID 198426.6498 4020.6517 14.25600 0.02200
OBS: 57828.30000 CSP-u/t VOID 280027.0595 5674.0931 13.88200 0.02200
OBS: 57831.40000 CSP-u/t VOID 660085.2070 13983.0404 12.95100 0.02300
OBS: 57832.30000 CSP-u/t VOID 795060.1751 14645.4855 12.74900 0.02000
OBS: 57838.30000 CSP-u/t VOID 1203372.2712 24383.5232 12.29900 0.02200
OBS: 57849.30000 CSP-u/t VOID 656447.5020 12696.7647 12.95700 0.02100
OBS: 57850.30000 CSP-u/t VOID 595936.5193 11526.3837 13.06200 0.02100
OBS: 57851.20000 CSP-u/t VOID 540505.3537 10952.0762 13.16800 0.02200
OBS: 57851.20000 CSP-u/t VOID 533580.5618 10320.3178 13.18200 0.02100
OBS: 57852.30000 CSP-u/t VOID 474241.9853 8735.8219 13.31000 0.02000
OBS: 57856.30000 CSP-u/t VOID 281838.2931 5191.6305 13.87500 0.02000
OBS: 57864.30000 CSP-u/t VOID 107844.9963 1986.5695 14.91800 0.02000
OBS: 57865.30000 CSP-u/t VOID 98537.1507 1905.8691 15.01600 0.02100
OBS: 57866.30000 CSP-u/t VOID 93583.6544 1810.0604 15.07200 0.02100
OBS: 57867.20000 CSP-u/t VOID 84957.1627 1721.4581 15.17700 0.02200
OBS: 57869.30000 CSP-u/t VOID 73451.3868 1353.0186 15.33500 0.02000
OBS: 57870.30000 CSP-u/t VOID 68675.2106 1391.5424 15.40800 0.02200
OBS: 57870.30000 CSP-u/t VOID 69119.4064 1336.8820 15.40100 0.02100
OBS: 57871.40000 CSP-u/t VOID 66069.3448 1277.8888 15.45000 0.02100
OBS: 57872.30000 CSP-u/t VOID 62574.8763 1210.3001 15.50900 0.02100
OBS: 57875.40000 CSP-u/t VOID 55309.5341 1069.7765 15.64300 0.02100
OBS: 57876.40000 CSP-u/t VOID 53015.1507 1025.3994 15.68900 0.02100
OBS: 57882.30000 CSP-u/t VOID 44463.1267 900.9412 15.88000 0.02200
OBS: 57888.30000 CSP-u/t VOID 38832.9157 929.9233 16.02700 0.02600
OBS: 57889.30000 CSP-u/t VOID 36174.2887 866.2577 16.10400 0.02600
OBS: 57909.30000 CSP-u/t VOID 27951.1705 566.3651 16.38400 0.02200
OBS: 57915.30000 CSP-u/t VOID 24957.4379 551.6772 16.50700 0.02400
OBS: 57916.30000 CSP-u/t VOID 23856.1304 659.1664 16.55600 0.03000
OBS: 57922.30000 CSP-u/t VOID 22019.1221 709.8095 16.64300 0.03500
OBS: 57933.20000 CSP-u/t VOID 17458.2215 385.9091 16.89500 0.02400
OBS: 57945.20000 CSP-u/t VOID 13427.6496 346.2835 17.18000 0.02800
OBS: 57954.00000 CSP-u/t VOID 10864.2562 220.1387 17.41000 0.02200
OBS: 57968.10000 CSP-u/t VOID 8325.3021 199.3642 17.69900 0.02600
OBS: 57980.00000 CSP-u/t VOID 6154.6024 136.0458 18.02700 0.02400
OBS: 57993.10000 CSP-u/t VOID 4902.3013 126.4247 18.27400 0.02800
OBS: 58000.00000 CSP-u/t VOID 4242.2865 257.8800 18.43100 0.06600
OBS: 57822.30000 CSP-g/A VOID 52239.6189 529.2568 15.70500 0.01100
OBS: 57823.20000 CSP-g/A VOID 116305.4323 1071.2079 14.83600 0.01000
OBS: 57823.30000 CSP-g/A VOID 124968.3397 805.6971 14.75800 0.00700
OBS: 57823.30000 CSP-g/A VOID 130376.7047 1561.0511 14.71200 0.01300
OBS: 57823.40000 CSP-g/A VOID 135518.9412 1497.8041 14.67000 0.01200
OBS: 57824.40000 CSP-g/A VOID 203798.0386 1501.6329 14.22700 0.00800
OBS: 57825.40000 CSP-g/A VOID 275676.6610 4062.5036 13.89900 0.01600
OBS: 57826.30000 CSP-g/A VOID 385478.3577 3905.4084 13.53500 0.01100
OBS: 57828.30000 CSP-g/A VOID 658263.8416 5456.5267 12.95400 0.00900
OBS: 57832.30000 CSP-g/A VOID 1412537.5446 10407.9156 12.12500 0.00800
OBS: 57833.30000 CSP-g/A VOID 1599558.0286 25045.0958 11.99000 0.01700
OBS: 57838.30000 CSP-g/A VOID 2083531.1606 24946.9312 11.70300 0.01300
OBS: 57851.20000 CSP-g/A VOID 1519147.6984 15390.9867 12.04600 0.01100
OBS: 57856.30000 CSP-g/A VOID 1052931.2128 6788.4686 12.44400 0.00700
OBS: 57864.30000 CSP-g/A VOID 555136.7774 4090.3810 13.13900 0.00800
OBS: 57865.30000 CSP-g/A VOID 523841.6190 6272.1600 13.20200 0.01300
OBS: 57866.30000 CSP-g/A VOID 493400.9712 5907.6823 13.26700 0.01300
OBS: 57867.20000 CSP-g/A VOID 460892.8810 5942.9464 13.34100 0.01400
OBS: 57869.30000 CSP-g/A VOID 389762.4531 2871.8633 13.52300 0.00800
OBS: 57870.30000 CSP-g/A VOID 368128.9736 4746.8096 13.58500 0.01400
OBS: 57871.40000 CSP-g/A VOID 340721.8617 2196.7054 13.66900 0.00700
OBS: 57872.30000 CSP-g/A VOID 321514.0825 2368.9929 13.73200 0.00800
OBS: 57875.40000 CSP-g/A VOID 268163.7067 1728.9077 13.92900 0.00700
OBS: 57876.40000 CSP-g/A VOID 256330.3320 1652.6155 13.97800 0.00700
OBS: 57882.30000 CSP-g/A VOID 200631.9065 1478.3040 14.24400 0.00800
OBS: 57888.30000 CSP-g/A VOID 176035.3954 1134.9372 14.38600 0.00700
OBS: 57889.30000 CSP-g/A VOID 172345.5205 1428.6186 14.40900 0.00900
OBS: 57907.30000 CSP-g/A VOID 131947.1457 1093.7455 14.69900 0.00900
OBS: 57909.30000 CSP-g/A VOID 127997.0617 825.2239 14.73200 0.00700
OBS: 57915.30000 CSP-g/A VOID 120226.4435 1107.3216 14.80000 0.01000
OBS: 57916.30000 CSP-g/A VOID 116949.9391 754.0008 14.83000 0.00700
OBS: 57922.30000 CSP-g/A VOID 104520.1441 866.3957 14.95200 0.00900
OBS: 57933.20000 CSP-g/A VOID 92811.1171 512.8909 15.08100 0.00600
OBS: 57945.20000 CSP-g/A VOID 78198.7840 504.1640 15.26700 0.00700
OBS: 57954.00000 CSP-g/A VOID 71055.8763 916.2243 15.37100 0.01400
OBS: 57968.10000 CSP-g/A VOID 56911.4958 314.5032 15.61200 0.00600
OBS: 57980.00000 CSP-g/A VOID 47774.9235 352.0171 15.80200 0.00800
OBS: 57993.00000 CSP-g/A VOID 40142.0918 221.8324 15.99100 0.00600
OBS: 58000.00000 CSP-g/A VOID 35974.9335 198.8040 16.11000 0.00600
OBS: 58011.00000 CSP-g/A VOID 30846.0814 170.4610 16.27700 0.00600
OBS: 58019.00000 CSP-g/A VOID 27745.9756 229.9939 16.39200 0.00900
OBS: 58140.40000 CSP-g/A VOID 5520.7744 45.7632 18.14500 0.00900
OBS: 58164.40000 CSP-g/A VOID 4062.5620 63.6096 18.47800 0.01700
OBS: 58192.40000 CSP-g/A VOID 2696.4974 27.3191 18.92300 0.01100
OBS: 58204.30000 CSP-g/A VOID 2263.6016 141.7695 19.11300 0.06800
OBS: 58233.40000 CSP-g/A VOID 1490.0471 56.2675 19.56700 0.04100
OBS: 58236.30000 CSP-g/A VOID 1384.2037 40.7966 19.64700 0.03200
OBS: 58236.30000 CSP-g/A VOID 1413.8391 49.4832 19.62400 0.03800
OBS: 58238.10000 CSP-g/A VOID 1791.4306 194.6954 19.36700 0.11800
OBS: 58238.30000 CSP-g/A VOID 1826.4172 211.9553 19.34600 0.12600
OBS: 58241.20000 CSP-g/A VOID 1332.9075 126.4477 19.68800 0.10300
OBS: 58241.20000 CSP-g/A VOID 1371.5132 77.0555 19.65700 0.06100
OBS: 58242.20000 CSP-g/A VOID 1183.5865 86.1194 19.81700 0.07900
OBS: 58242.20000 CSP-g/A VOID 1306.1709 67.3693 19.71000 0.05600
OBS: 58244.30000 CSP-g/A VOID 1220.1128 38.2079 19.78400 0.03400
OBS: 58272.30000 CSP-g/A VOID 628.0584 76.9353 20.50500 0.13300
OBS: 58275.30000 CSP-g/A VOID 715.8137 17.8007 20.36300 0.02700
OBS: 58307.20000 CSP-g/A VOID 423.4479 9.3602 20.93300 0.02400
OBS: 57822.30000 CSP-r/L VOID 55462.5713 817.3231 15.64000 0.01600
OBS: 57823.20000 CSP-r/L VOID 123140.2412 1701.2378 14.77400 0.01500
OBS: 57823.30000 CSP-r/L VOID 133782.7134 1971.4863 14.68400 0.01600
OBS: 57823.40000 CSP-r/L VOID 140604.7524 1813.0167 14.63000 0.01400
OBS: 57824.40000 CSP-r/L VOID 210668.6926 2134.3540 14.19100 0.01100
OBS: 57825.40000 CSP-r/L VOID 281838.2931 4672.4674 13.87500 0.01800
OBS: 57826.40000 CSP-r/L VOID 382648.4866 3876.7381 13.54300 0.01100
OBS: 57828.30000 CSP-r/L VOID 642687.7173 9470.9547 12.98000 0.01600
OBS: 57828.30000 CSP-r/L VOID 659477.5259 10325.7760 12.95200 0.01700
OBS: 57831.40000 CSP-r/L VOID 1198947.0405 20981.0577 12.30300 0.01900
OBS: 57832.30000 CSP-r/L VOID 1318256.7386 14569.8480 12.20000 0.01200
OBS: 57832.30000 CSP-r/L VOID 1348962.8826 13666.7881 12.17500 0.01100
OBS: 57833.30000 CSP-r/L VOID 1496924.8568 22059.4032 12.06200 0.01600
OBS: 57838.30000 CSP-r/L VOID 2008167.8042 24044.5763 11.74300 0.01300
OBS: 57849.30000 CSP-r/L VOID 1788133.7487 29644.6469 11.86900 0.01800
OBS: 57849.30000 CSP-r/L VOID 1768479.3783 30947.6287 11.88100 0.01900
OBS: 57850.30000 CSP-r/L VOID 1682674.0611 17047.7262 11.93500 0.01100
OBS: 57850.30000 CSP-r/L VOID 1678031.0783 20091.7205 11.93800 0.01300
OBS: 57851.20000 CSP-r/L VOID 1587815.3642 23398.8094 11.99800 0.01600
OBS: 57852.30000 CSP-r/L VOID 1460158.4968 13448.4978 12.08900 0.01000
OBS: 57856.30000 CSP-r/L VOID 1203372.2712 11083.4196 12.29900 0.01000
OBS: 57856.30000 CSP-r/L VOID 1212271.7925 11165.3869 12.29100 0.01000
OBS: 57865.30000 CSP-r/L VOID 1017653.6626 17808.5015 12.48100 0.01900
OBS: 57865.30000 CSP-r/L VOID 1028963.5723 15163.3011 12.46900 0.01600
OBS: 57866.30000 CSP-r/L VOID 1012045.4111 14913.9870 12.48700 0.01600
OBS: 57869.30000 CSP-r/L VOID 918755.6017 11000.6191 12.59200 0.01300
OBS: 57869.30000 CSP-r/L VOID 917064.7491 10135.7298 12.59400 0.01200
OBS: 57870.30000 CSP-r/L VOID 874983.7752 12894.1809 12.64500 0.01600
OBS: 57871.40000 CSP-r/L VOID 861390.3458 10313.7626 12.66200 0.01300
OBS: 57871.40000 CSP-r/L VOID 850354.4720 10181.6257 12.67600 0.01300
OBS: 57872.30000 CSP-r/L VOID 808351.0374 10423.2178 12.73100 0.01400
OBS: 57872.30000 CSP-r/L VOID 827942.1637 9913.2744 12.70500 0.01300
OBS: 57875.40000 CSP-r/L VOID 686752.1061 6325.1929 12.90800 0.01000
OBS: 57876.40000 CSP-r/L VOID 663743.0704 7335.9274 12.94500 0.01200
OBS: 57876.40000 CSP-r/L VOID 663743.0704 6724.6001 12.94500 0.01100
OBS: 57882.30000 CSP-r/L VOID 475554.1763 4379.9966 13.30700 0.01000
OBS: 57888.30000 CSP-r/L VOID 383707.2455 3887.4647 13.54000 0.01100
OBS: 57888.30000 CSP-r/L VOID 384414.7118 3540.5748 13.53800 0.01000
OBS: 57889.30000 CSP-r/L VOID 375664.3646 5189.9722 13.56300 0.01500
OBS: 57889.30000 CSP-r/L VOID 376703.7990 5898.2435 13.56000 0.01700
OBS: 57889.30000 CSP-r/L VOID 380890.3765 4209.7376 13.54800 0.01200
OBS: 57907.30000 CSP-r/L VOID 213993.2132 3350.6009 14.17400 0.01700
OBS: 57907.30000 CSP-r/L VOID 220800.4733 2440.3663 14.14000 0.01200
OBS: 57909.30000 CSP-r/L VOID 211446.2562 2336.9801 14.18700 0.01200
OBS: 57915.30000 CSP-r/L VOID 176847.9378 1791.7048 14.38100 0.01100
OBS: 57916.30000 CSP-r/L VOID 168577.6518 2794.7713 14.43300 0.01800
OBS: 57916.30000 CSP-r/L VOID 172981.6359 2071.1766 14.40500 0.01300
OBS: 57922.30000 CSP-r/L VOID 144943.9191 1334.9770 14.59700 0.01000
OBS: 57933.20000 CSP-r/L VOID 105196.1874 968.8884 14.94500 0.01000
OBS: 57933.20000 CSP-r/L VOID 104616.4551 963.5489 14.95100 0.01000
OBS: 57945.20000 CSP-r/L VOID 74748.0728 1032.6783 15.31600 0.01500
OBS: 57945.20000 CSP-r/L VOID 73858.4178 748.2840 15.32900 0.01100
OBS: 57954.00000 CSP-r/L VOID 59648.5650 988.8861 15.56100 0.01800
OBS: 57968.10000 CSP-r/L VOID 40216.1044 333.3621 15.98900 0.00900
OBS: 57980.00000 CSP-r/L VOID 29702.9784 547.1467 16.31800 0.02000
OBS: 57980.00000 CSP-r/L VOID 29812.6101 411.8746 16.31400 0.01500
OBS: 57993.00000 CSP-r/L VOID 20892.9613 519.5622 16.70000 0.02700
OBS: 57993.00000 CSP-r/L VOID 21857.4755 281.8395 16.65100 0.01400
OBS: 58000.00000 CSP-r/L VOID 18348.4761 253.4925 16.84100 0.01500
OBS: 58011.00000 CSP-r/L VOID 14374.7401 569.3014 17.10600 0.04300
OBS: 58011.00000 CSP-r/L VOID 14216.7393 183.3166 17.11800 0.01400
OBS: 58019.00000 CSP-r/L VOID 11770.6379 813.0833 17.32300 0.07500
OBS: 58019.00000 CSP-r/L VOID 11803.2064 652.2664 17.32000 0.06000
OBS: 58019.00000 CSP-r/L VOID 12178.6738 347.7246 17.28600 0.03100
OBS: 58140.30000 CSP-r/L VOID 1293.0044 29.7724 19.72100 0.02500
OBS: 58164.40000 CSP-r/L VOID 894.5405 27.1887 20.12100 0.03300
OBS: 58192.40000 CSP-r/L VOID 575.9702 21.2194 20.59900 0.04000
OBS: 58233.40000 CSP-r/L VOID 316.2278 25.3392 21.25000 0.08700
OBS: 58241.20000 CSP-r/L VOID 381.2414 96.5620 21.04700 0.27500
OBS: 58241.20000 CSP-r/L VOID 315.9366 76.2386 21.25100 0.26200
OBS: 58242.20000 CSP-r/L VOID 254.2143 59.7054 21.48700 0.25500
OBS: 58272.30000 CSP-r/L VOID 188.1049 66.0083 21.81400 0.38100
OBS: 58275.30000 CSP-r/L VOID 186.5520 18.2129 21.82300 0.10600
OBS: 57822.30000 CSP-i/C VOID 45540.7313 461.3882 15.85400 0.01100
OBS: 57823.20000 CSP-i/C VOID 97185.1703 1163.6359 15.03100 0.01300
OBS: 57823.30000 CSP-i/C VOID 106071.8150 1270.0392 14.93600 0.01300
OBS: 57823.40000 CSP-i/C VOID 111275.6142 1742.2990 14.88400 0.01700
