SNID: ASASSN14LP
#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-12-01T02:52:52 [V7.32.6]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO protocol=ASU 
#INFO request_date=2023-12-01T02:52:52 
#INFO request_post=https://vizier.cds.unistra.fr//viz-bin/asu-txt 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/ApJ/826/144&tab:{J/ApJ/826/144/table1}&key:source=J/ApJ/826/144/table1&HTTPPRM:&
#-source=J/ApJ/826/144/table1
#-order=I
#-out=JD
#-out=Band
#-out=l_mag
#-out=mag
#-out=e_mag
#-out=Tel
#
#INFO contact=cds-question@unistra.fr 
#INFO version=7.32.6 
#INFO -out.max=unlimited 
#RESOURCE=yCat_18260144
#Name: J/ApJ/826/144
#Title: Follow-up observations of SNIa ASASSN-14lp (Shappee+, 2016)
#INFO ivoid=ivo://cds.vizier/j/apj/826/144    
#INFO publisher=CDS    
#INFO creator=Shappee B.J.    
#INFO related_resource=bibcode:2016ApJ...826..144S    
#INFO landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/826/144    
#INFO publication_id=doi:10.26093/cds/vizier.18260144    
#INFO publication_date=2017-06-01    
#INFO curation_level=RESEARCH    
#INFO rights=https://cds.unistra.fr/vizier-org/licences_vizier.html    
#Table J_ApJ_826_144_table1:
#Name: J/ApJ/826/144/table1
#Title: Photometric observations
#SURVEY: UVEXT
#REDSHIFT: 0.0034
#RA: 191.28791667
#DEC: -0.45902778
#---Details of Columns:
VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS: 57002.336000 CSP-u/t 83176.3771 1532.1588 15.200 0.020 ab CSP CSP None
OBS: 57003.363000 CSP-u/t 140604.7524 2590.0239 14.630 0.020 ab CSP CSP None
OBS: 57004.329000 CSP-u/t 222843.5149 2052.4556 14.130 0.010 ab CSP CSP None
OBS: 57005.341000 CSP-u/t 316227.7660 2912.5526 13.750 0.010 ab CSP CSP None
OBS: 57009.346000 CSP-u/t 636795.5209 5865.0778 12.990 0.010 ab CSP CSP None
OBS: 57010.341000 CSP-u/t 672976.6563 6198.3169 12.930 0.010 ab CSP CSP None
OBS: 57011.341000 CSP-u/t 704693.0690 6490.4346 12.880 0.010 ab CSP CSP None
OBS: 57012.342000 CSP-u/t 717794.2913 6611.1008 12.860 0.010 ab CSP CSP None
OBS: 57013.339000 CSP-u/t 704693.0690 6490.4346 12.880 0.010 ab CSP CSP None
OBS: 57014.336000 CSP-u/t 685488.2265 12627.1044 12.910 0.020 ab CSP CSP None
OBS: 57018.315000 CSP-u/t 575439.9373 5299.9745 13.100 0.010 ab CSP CSP None
OBS: 57019.310000 CSP-u/t 544502.6528 5015.0328 13.160 0.010 ab CSP CSP None
OBS: 57020.308000 CSP-u/t 510505.0000 9403.8084 13.230 0.020 ab CSP CSP None
OBS: 57021.309000 CSP-u/t 478630.0923 8816.6535 13.300 0.020 ab CSP CSP None
OBS: 57022.372000 CSP-u/t 424619.5639 7821.7471 13.430 0.020 ab CSP CSP None
OBS: 57023.373000 CSP-u/t 387257.6449 3566.7591 13.530 0.010 ab CSP CSP None
OBS: 57024.371000 CSP-u/t 346736.8505 3193.5504 13.650 0.010 ab CSP CSP None
OBS: 57025.325000 CSP-u/t 328095.2931 3021.8561 13.710 0.010 ab CSP CSP None
OBS: 57026.361000 CSP-u/t 280543.3638 5167.7771 13.880 0.020 ab CSP CSP None
OBS: 57027.365000 CSP-u/t 253512.8630 7004.7886 13.990 0.030 ab CSP CSP None
OBS: 57028.366000 CSP-u/t 222843.5149 4104.9113 14.130 0.020 ab CSP CSP None
OBS: 57029.284000 CSP-u/t 199526.2315 1837.6964 14.250 0.010 ab CSP CSP None
OBS: 57030.329000 CSP-u/t 172186.8575 1585.8926 14.410 0.010 ab CSP CSP None
OBS: 57031.305000 CSP-u/t 148593.5642 1368.5913 14.570 0.010 ab CSP CSP None
OBS: 57032.275000 CSP-u/t 130617.0888 1203.0226 14.710 0.010 ab CSP CSP None
OBS: 57036.326000 CSP-u/t 75857.7575 2096.0181 15.300 0.030 ab CSP CSP None
OBS: 57037.313000 CSP-u/t 65463.6174 1205.8791 15.460 0.020 ab CSP CSP None
OBS: 57038.325000 CSP-u/t 58613.8165 1619.5525 15.580 0.030 ab CSP CSP None
OBS: 57039.343000 CSP-u/t 51999.5997 1436.7957 15.710 0.030 ab CSP CSP None
OBS: 57040.336000 CSP-u/t 49659.2321 1372.1293 15.760 0.030 ab CSP CSP None
OBS: 57041.350000 CSP-u/t 44055.4864 811.5285 15.890 0.020 ab CSP CSP None
OBS: 57042.351000 CSP-u/t 42461.9564 1173.2621 15.930 0.030 ab CSP CSP None
OBS: 57043.275000 CSP-u/t 40179.0811 740.1228 15.990 0.020 ab CSP CSP None
OBS: 57044.278000 CSP-u/t 37325.0158 687.5492 16.070 0.020 ab CSP CSP None
OBS: 57045.246000 CSP-u/t 34994.5167 644.6200 16.140 0.020 ab CSP CSP None
OBS: 57046.248000 CSP-u/t 33728.7309 621.3035 16.180 0.020 ab CSP CSP None
OBS: 57047.236000 CSP-u/t 31915.3786 587.9004 16.240 0.020 ab CSP CSP None
OBS: 57048.269000 CSP-u/t 30199.5172 556.2932 16.300 0.020 ab CSP CSP None
OBS: 57058.268000 CSP-u/t 22908.6765 421.9916 16.600 0.020 ab CSP CSP None
OBS: 57001.336000 CSP-g/A 151356.1248 2788.0706 14.550 0.020 ab CSP CSP None
OBS: 57001.341000 CSP-g/A 152756.6058 1406.9342 14.540 0.010 ab CSP CSP None
OBS: 57002.332000 CSP-g/A 246603.9337 4542.5924 14.020 0.020 ab CSP CSP None
OBS: 57002.341000 CSP-g/A 248885.7318 2292.3123 14.010 0.010 ab CSP CSP None
